feature,corr_coeff,p_value,significant
engine_power,0.6389885561192054,0.0,True
model_key,0.48455489169808985,1.148462953214935e-283,True
registration_date,0.45004782097383633,3.0778182096279213e-240,True
feature_8,0.4431215784712119,4.152442276895853e-232,True
feature_4,0.41438917527735664,2.463241564812072e-200,True
mileage,-0.40956447966919973,2.6901607012957404e-195,True
feature_1,0.2693203656650939,2.9748021172312325e-81,True
car_type,0.26748159765087887,3.9316008152337305e-80,True
feature_5,0.2617684636466841,1.0514368080363482e-76,True
feature_3,0.2512745486590143,1.2526224977980018e-70,True
feature_2,0.2468080805258573,3.970102978214738e-68,True
feature_6,0.21096572890726953,7.490806996722985e-50,True
